Professions,Age,Sex,Initial Country of Qualifications,Year,Number of Practitioners
Physiotherapists,35-44,Male,Other overseas,2014 ,195
Physiotherapists,35-44,Male,Not stated,2014 ,45
Physiotherapists,35-44,Female,Australia,2014 ,2492
Physiotherapists,35-44,Female,New Zealand,2014 ,92
Physiotherapists,35-44,Female,Other overseas,2014 ,477
Physiotherapists,35-44,Female,Not stated,2014 ,49
Physiotherapists,45-54,Male,Australia,2014 ,935
Physiotherapists,45-54,Male,New Zealand,2014 ,23
Physiotherapists,45-54,Male,Other overseas,2014 ,108
Physiotherapists,45-54,Male,Not stated,2014 ,16
Physiotherapists,45-54,Female,Australia,2014 ,2168
Physiotherapists,45-54,Female,New Zealand,2014 ,60
Physiotherapists,45-54,Female,Other overseas,2014 ,402
Physiotherapists,45-54,Female,Not stated,2014 ,25
Physiotherapists,55-64,Male,Australia,2014 ,440
Physiotherapists,55-64,Male,New Zealand,2014 ,15
Physiotherapists,55-64,Male,Other overseas,2014 ,62
Physiotherapists,55-64,Male,Not stated,2014 ,7
Physiotherapists,55-64,Female,Australia,2014 ,1532
Physiotherapists,55-64,Female,New Zealand,2014 ,43
Physiotherapists,55-64,Female,Other overseas,2014 ,266
Physiotherapists,55-64,Female,Not stated,2014 ,9
Physiotherapists,65-74,Male,Australia,2014 ,63
Physiotherapists,65-74,Male,New Zealand,2014 ,0
Physiotherapists,65-74,Male,Other overseas,2014 ,20
Physiotherapists,65-74,Male,Not stated,2014 ,0
Physiotherapists,65-74,Female,Australia,2014 ,268
Physiotherapists,65-74,Female,New Zealand,2014 ,6
Physiotherapists,65-74,Female,Other overseas,2014 ,70
Physiotherapists,65-74,Female,Not stated,2014 ,7
Physiotherapists,75-99,Male,Australia,2014 ,9
Physiotherapists,75-99,Male,New Zealand,2014 ,0
Physiotherapists,75-99,Male,Other overseas,2014 ,3
Physiotherapists,75-99,Male,Not stated,2014 ,0
Physiotherapists,75-99,Female,Australia,2014 ,23
Physiotherapists,75-99,Female,Other overseas,2014 ,4
Physiotherapists,75-99,Female,Not stated,2014 ,0
Podiatrists,20-34,Male,Australia,2014 ,564
Podiatrists,20-34,Male,New Zealand,2014 ,30
Podiatrists,20-34,Male,Other overseas,2014 ,25
Podiatrists,20-34,Male,Not stated,2014 ,85
Podiatrists,20-34,Female,Australia,2014 ,911
Podiatrists,20-34,Female,New Zealand,2014 ,39
Podiatrists,20-34,Female,Other overseas,2014 ,56
Podiatrists,20-34,Female,Not stated,2014 ,139
Podiatrists,35-44,Male,Australia,2014 ,387
Podiatrists,35-44,Male,New Zealand,2014 ,12
Podiatrists,35-44,Male,Other overseas,2014 ,40
Podiatrists,35-44,Male,Not stated,2014 ,9
Podiatrists,35-44,Female,Australia,2014 ,499
Podiatrists,35-44,Female,New Zealand,2014 ,14
Podiatrists,35-44,Female,Other overseas,2014 ,63
Podiatrists,35-44,Female,Not stated,2014 ,13
Podiatrists,45-54,Male,Australia,2014 ,235
Podiatrists,45-54,Male,New Zealand,2014 ,9
Podiatrists,45-54,Male,Other overseas,2014 ,34
Podiatrists,45-54,Male,Not stated,2014 ,3
Podiatrists,45-54,Female,Australia,2014 ,357
Podiatrists,45-54,Female,New Zealand,2014 ,14
Podiatrists,45-54,Female,Other overseas,2014 ,52
Podiatrists,45-54,Female,Not stated,2014 ,8
Podiatrists,55-64,Male,Australia,2014 ,95
Podiatrists,55-64,Male,New Zealand,2014 ,6
Podiatrists,55-64,Male,Other overseas,2014 ,24
Podiatrists,55-64,Male,Not stated,2014 ,3
Podiatrists,55-64,Female,Australia,2014 ,135
Podiatrists,55-64,Female,New Zealand,2014 ,4
Podiatrists,55-64,Female,Other overseas,2014 ,19
Podiatrists,55-64,Female,Not stated,2014 ,4
Podiatrists,65-74,Male,Australia,2014 ,18
Podiatrists,65-74,Male,Other overseas,2014 ,5
Podiatrists,65-74,Female,Australia,2014 ,21
Podiatrists,65-74,Female,Other overseas,2014 ,4
Podiatrists,75-99,Male,Other overseas,2014 ,3
Podiatrists,75-99,Female,Australia,2014 ,8
Podiatrists,75-99,Female,Other overseas,2014 ,3
Podiatrists,75-99,Female,Not stated,2014 ,0
Psychologists,20-34,Male,Australia,2014 ,706
Psychologists,20-34,Male,New Zealand,2014 ,4
Psychologists,20-34,Male,Other overseas,2014 ,12
Psychologists,20-34,Male,Not stated,2014 ,39
Psychologists,20-34,Female,Australia,2014 ,4199
Psychologists,20-34,Female,New Zealand,2014 ,43
Psychologists,20-34,Female,Other overseas,2014 ,141
Psychologists,20-34,Female,Not stated,2014 ,168
Psychologists,35-44,Male,Australia,2014 ,1106
Psychologists,35-44,Male,New Zealand,2014 ,27
Psychologists,35-44,Male,Other overseas,2014 ,91
Psychologists,35-44,Male,Not stated,2014 ,26
Psychologists,35-44,Female,Australia,2014 ,4992
Psychologists,35-44,Female,New Zealand,2014 ,52
Psychologists,35-44,Female,Other overseas,2014 ,335
Psychologists,35-44,Female,Not stated,2014 ,84
Psychologists,45-54,Male,Australia,2014 ,1096
Psychologists,45-54,Male,New Zealand,2014 ,12
Psychologists,45-54,Male,Other overseas,2014 ,117
Psychologists,45-54,Male,Not stated,2014 ,17
Psychologists,45-54,Female,Australia,2014 ,3573
Psychologists,45-54,Female,New Zealand,2014 ,46
Psychologists,45-54,Female,Other overseas,2014 ,338
Psychologists,45-54,Female,Not stated,2014 ,54
Psychologists,55-64,Male,Australia,2014 ,1176
Psychologists,55-64,Male,New Zealand,2014 ,22
Psychologists,55-64,Male,Other overseas,2014 ,159
Psychologists,55-64,Male,Not stated,2014 ,15
Psychologists,55-64,Female,Australia,2014 ,2946
Psychologists,55-64,Female,New Zealand,2014 ,32
Psychologists,55-64,Female,Other overseas,2014 ,241
Psychologists,55-64,Female,Not stated,2014 ,43
Psychologists,65-74,Male,Australia,2014 ,541
Psychologists,65-74,Male,New Zealand,2014 ,15
Psychologists,65-74,Male,Other overseas,2014 ,74
Psychologists,65-74,Male,Not stated,2014 ,9
Psychologists,65-74,Female,Australia,2014 ,990
Psychologists,65-74,Female,New Zealand,2014 ,10
Psychologists,65-74,Female,Other overseas,2014 ,92
Psychologists,65-74,Female,Not stated,2014 ,13
Psychologists,75-99,Male,Australia,2014 ,55
Psychologists,75-99,Male,New Zealand,2014 ,0
Psychologists,75-99,Male,Other overseas,2014 ,18
Psychologists,75-99,Male,Not stated,2014 ,3
Psychologists,75-99,Female,Australia,2014 ,69
Psychologists,75-99,Female,New Zealand,2014 ,0
Psychologists,75-99,Female,Other overseas,2014 ,6
Psychologists,75-99,Female,Not stated,2014 ,3
ATSI Health Practitioners,20-34,Male,Not stated,2015 ,18
ATSI Health Practitioners,20-34,Female,Not stated,2015 ,58
ATSI Health Practitioners,35-44,Male,Not stated,2015 ,34
ATSI Health Practitioners,35-44,Female,Not stated,2015 ,88
ATSI Health Practitioners,45-54,Male,Not stated,2015 ,32
ATSI Health Practitioners,45-54,Female,Not stated,2015 ,127
ATSI Health Practitioners,55-64,Male,Not stated,2015 ,12
ATSI Health Practitioners,55-64,Female,Not stated,2015 ,66
ATSI Health Practitioners,65-74,Male,Not stated,2015 ,3
ATSI Health Practitioners,65-74,Female,Not stated,2015 ,14
ATSI Health Practitioners,75-99,Male,Not stated,2015 ,0
Chiropractors,20-34,Male,Australia,2015 ,671
Chiropractors,20-34,Male,New Zealand,2015 ,37
Chiropractors,20-34,Male,Other overseas,2015 ,17
Chiropractors,20-34,Male,Not stated,2015 ,71
Chiropractors,20-34,Female,Australia,2015 ,638
Chiropractors,20-34,Female,New Zealand,2015 ,40
Chiropractors,20-34,Female,Other overseas,2015 ,22
Chiropractors,20-34,Female,Not stated,2015 ,78
Chiropractors,35-44,Male,Australia,2015 ,698
Chiropractors,35-44,Male,New Zealand,2015 ,16
Chiropractors,35-44,Male,Other overseas,2015 ,74
Chiropractors,35-44,Male,Not stated,2015 ,15
Chiropractors,35-44,Female,Australia,2015 ,441
Chiropractors,35-44,Female,New Zealand,2015 ,9
Chiropractors,35-44,Female,Other overseas,2015 ,48
Chiropractors,35-44,Female,Not stated,2015 ,6
Chiropractors,45-54,Male,Australia,2015 ,502
Chiropractors,45-54,Male,New Zealand,2015 ,0
Chiropractors,45-54,Male,Other overseas,2015 ,85
Chiropractors,45-54,Male,Not stated,2015 ,4
Chiropractors,45-54,Female,Australia,2015 ,222
Chiropractors,45-54,Female,New Zealand,2015 ,5
Chiropractors,45-54,Female,Other overseas,2015 ,38
Chiropractors,45-54,Female,Not stated,2015 ,6
Chiropractors,55-64,Male,Australia,2015 ,319
Chiropractors,55-64,Male,New Zealand,2015 ,0
Chiropractors,55-64,Male,Other overseas,2015 ,88
Chiropractors,55-64,Male,Not stated,2015 ,5
Chiropractors,55-64,Female,Australia,2015 ,75
Chiropractors,55-64,Female,New Zealand,2015 ,0
Chiropractors,55-64,Female,Other overseas,2015 ,16
Chiropractors,55-64,Female,Not stated,2015 ,0
Chiropractors,65-74,Male,Australia,2015 ,100
Chiropractors,65-74,Male,Other overseas,2015 ,77
Chiropractors,65-74,Male,Not stated,2015 ,3
Chiropractors,65-74,Female,Australia,2015 ,10
Chiropractors,65-74,Female,New Zealand,2015 ,0
Chiropractors,65-74,Female,Other overseas,2015 ,3
Chiropractors,75-99,Male,Australia,2015 ,15
Chiropractors,75-99,Male,New Zealand,2015 ,0
Chiropractors,75-99,Male,Other overseas,2015 ,17
Chiropractors,75-99,Male,Not stated,2015 ,0
Chiropractors,75-99,Female,Australia,2015 ,4
Chiropractors,75-99,Female,Other overseas,2015 ,3
Chinese Medicine Practitioners,20-34,Male,Australia,2015 ,151
Chinese Medicine Practitioners,20-34,Male,New Zealand,2015 ,0
Chinese Medicine Practitioners,20-34,Male,Other overseas,2015 ,44
Chinese Medicine Practitioners,20-34,Male,Not stated,2015 ,16
Chinese Medicine Practitioners,20-34,Female,Australia,2015 ,243
Chinese Medicine Practitioners,20-34,Female,New Zealand,2015 ,3
Chinese Medicine Practitioners,20-34,Female,Other overseas,2015 ,52
Chinese Medicine Practitioners,20-34,Female,Not stated,2015 ,29
Chinese Medicine Practitioners,35-44,Male,Australia,2015 ,323
Chinese Medicine Practitioners,35-44,Male,New Zealand,2015 ,0
Chinese Medicine Practitioners,35-44,Male,Other overseas,2015 ,116
Chinese Medicine Practitioners,35-44,Male,Not stated,2015 ,14
Chinese Medicine Practitioners,35-44,Female,Australia,2015 ,466
Chinese Medicine Practitioners,35-44,Female,New Zealand,2015 ,3
Chinese Medicine Practitioners,35-44,Female,Other overseas,2015 ,125
Chinese Medicine Practitioners,35-44,Female,Not stated,2015 ,21
Chinese Medicine Practitioners,45-54,Male,Australia,2015 ,313
Chinese Medicine Practitioners,45-54,Male,New Zealand,2015 ,3
Chinese Medicine Practitioners,45-54,Male,Other overseas,2015 ,171
Chinese Medicine Practitioners,45-54,Male,Not stated,2015 ,11
Chinese Medicine Practitioners,45-54,Female,Australia,2015 ,377
Chinese Medicine Practitioners,45-54,Female,New Zealand,2015 ,4
Chinese Medicine Practitioners,45-54,Female,Other overseas,2015 ,173
Chinese Medicine Practitioners,45-54,Female,Not stated,2015 ,23
Chinese Medicine Practitioners,55-64,Male,Australia,2015 ,286
Chinese Medicine Practitioners,55-64,Male,New Zealand,2015 ,0
Chinese Medicine Practitioners,55-64,Male,Other overseas,2015 ,180
Chinese Medicine Practitioners,55-64,Male,Not stated,2015 ,12
Chinese Medicine Practitioners,55-64,Female,Australia,2015 ,288
Chinese Medicine Practitioners,55-64,Female,New Zealand,2015 ,0
Chinese Medicine Practitioners,55-64,Female,Other overseas,2015 ,143
Chinese Medicine Practitioners,55-64,Female,Not stated,2015 ,30
Chinese Medicine Practitioners,65-74,Male,Australia,2015 ,84
Chinese Medicine Practitioners,65-74,Male,New Zealand,2015 ,0
Chinese Medicine Practitioners,65-74,Male,Other overseas,2015 ,70
Chinese Medicine Practitioners,65-74,Male,Not stated,2015 ,5
Chinese Medicine Practitioners,65-74,Female,Australia,2015 ,70
Chinese Medicine Practitioners,65-74,Female,New Zealand,2015 ,0
Chinese Medicine Practitioners,65-74,Female,Other overseas,2015 ,31
Chinese Medicine Practitioners,65-74,Female,Not stated,2015 ,3
Chinese Medicine Practitioners,75-99,Male,Australia,2015 ,14
Chinese Medicine Practitioners,75-99,Male,Other overseas,2015 ,18
Chinese Medicine Practitioners,75-99,Male,Not stated,2015 ,3
Chinese Medicine Practitioners,75-99,Female,Australia,2015 ,4
Chinese Medicine Practitioners,75-99,Female,Other overseas,2015 ,9
Chinese Medicine Practitioners,75-99,Female,Not stated,2015 ,3
Dental Practitioners,20-34,Male,Australia,2015 ,1747
Dental Practitioners,20-34,Male,New Zealand,2015 ,103
Dental Practitioners,20-34,Male,Other overseas,2015 ,397
Dental Practitioners,20-34,Male,Not stated,2015 ,286
Dental Practitioners,20-34,Female,Australia,2015 ,2824
Dental Practitioners,20-34,Female,New Zealand,2015 ,152
Dental Practitioners,20-34,Female,Other overseas,2015 ,559
Dental Practitioners,20-34,Female,Not stated,2015 ,424
Dental Practitioners,35-44,Male,Australia,2015 ,1373
Dental Practitioners,35-44,Male,New Zealand,2015 ,116
Dental Practitioners,35-44,Male,Other overseas,2015 ,631
Dental Practitioners,35-44,Male,Not stated,2015 ,47
Dental Practitioners,35-44,Female,Australia,2015 ,1521
Dental Practitioners,35-44,Female,New Zealand,2015 ,108
Dental Practitioners,35-44,Female,Other overseas,2015 ,745
Dental Practitioners,35-44,Female,Not stated,2015 ,41
Dental Practitioners,45-54,Male,Australia,2015 ,1565
Dental Practitioners,45-54,Male,New Zealand,2015 ,65
Dental Practitioners,45-54,Male,Other overseas,2015 ,363
Dental Practitioners,45-54,Male,Not stated,2015 ,22
Dental Practitioners,45-54,Female,Australia,2015 ,1311
Dental Practitioners,45-54,Female,New Zealand,2015 ,48
Dental Practitioners,45-54,Female,Other overseas,2015 ,371
Dental Practitioners,45-54,Female,Not stated,2015 ,12
Dental Practitioners,55-64,Male,Australia,2015 ,1781
Dental Practitioners,55-64,Male,New Zealand,2015 ,57
Dental Practitioners,55-64,Male,Other overseas,2015 ,300
Dental Practitioners,55-64,Male,Not stated,2015 ,17
Dental Practitioners,55-64,Female,Australia,2015 ,802
Dental Practitioners,55-64,Female,New Zealand,2015 ,46
Dental Practitioners,55-64,Female,Other overseas,2015 ,165
Dental Practitioners,55-64,Female,Not stated,2015 ,6
Dental Practitioners,65-74,Male,Australia,2015 ,660
Dental Practitioners,65-74,Male,New Zealand,2015 ,41
Dental Practitioners,65-74,Male,Other overseas,2015 ,148
Dental Practitioners,65-74,Male,Not stated,2015 ,5
Dental Practitioners,65-74,Female,Australia,2015 ,44
Dental Practitioners,65-74,Female,New Zealand,2015 ,5
Dental Practitioners,65-74,Female,Other overseas,2015 ,30
Dental Practitioners,65-74,Female,Not stated,2015 ,0
Dental Practitioners,75-99,Male,Australia,2015 ,93
Dental Practitioners,75-99,Male,New Zealand,2015 ,3
Dental Practitioners,75-99,Male,Other overseas,2015 ,14
Dental Practitioners,75-99,Male,Not stated,2015 ,0
Dental Practitioners,75-99,Female,Australia,2015 ,3
Medical Practitioners,20-34,Male,Australia,2015 ,7214
Medical Practitioners,20-34,Male,New Zealand,2015 ,193
Medical Practitioners,20-34,Male,Other overseas,2015 ,1482
Medical Practitioners,20-34,Male,Not stated,2015 ,536
Medical Practitioners,20-34,Female,Australia,2015 ,8542
Medical Practitioners,20-34,Female,New Zealand,2015 ,208
Medical Practitioners,20-34,Female,Other overseas,2015 ,1599
Medical Practitioners,20-34,Female,Not stated,2015 ,544
Medical Practitioners,35-44,Male,Australia,2015 ,7024
Medical Practitioners,35-44,Male,New Zealand,2015 ,446
Medical Practitioners,35-44,Male,Other overseas,2015 ,5356
Medical Practitioners,35-44,Male,Not stated,2015 ,728
Medical Practitioners,35-44,Female,Australia,2015 ,6044
Medical Practitioners,35-44,Female,New Zealand,2015 ,286
Medical Practitioners,35-44,Female,Other overseas,2015 ,3762
Medical Practitioners,35-44,Female,Not stated,2015 ,421
Medical Practitioners,45-54,Male,Australia,2015 ,6982
Medical Practitioners,45-54,Male,New Zealand,2015 ,329
Medical Practitioners,45-54,Male,Other overseas,2015 ,4408
Medical Practitioners,45-54,Male,Not stated,2015 ,310
Medical Practitioners,45-54,Female,Australia,2015 ,4592
Medical Practitioners,45-54,Female,New Zealand,2015 ,188
Medical Practitioners,45-54,Female,Other overseas,2015 ,2763
Medical Practitioners,45-54,Female,Not stated,2015 ,143
Medical Practitioners,55-64,Male,Australia,2015 ,7300
Medical Practitioners,55-64,Male,New Zealand,2015 ,260
Medical Practitioners,55-64,Male,Other overseas,2015 ,2664
Medical Practitioners,55-64,Male,Not stated,2015 ,201
Medical Practitioners,55-64,Female,Australia,2015 ,3276
Medical Practitioners,55-64,Female,New Zealand,2015 ,96
Medical Practitioners,55-64,Female,Other overseas,2015 ,1296
Medical Practitioners,55-64,Female,Not stated,2015 ,74
Medical Practitioners,65-74,Male,Australia,2015 ,4060
Medical Practitioners,65-74,Male,New Zealand,2015 ,104
Medical Practitioners,65-74,Male,Other overseas,2015 ,1575
Medical Practitioners,65-74,Male,Not stated,2015 ,74
Medical Practitioners,65-74,Female,Australia,2015 ,768
Medical Practitioners,65-74,Female,New Zealand,2015 ,12
Medical Practitioners,65-74,Female,Other overseas,2015 ,439
Medical Practitioners,65-74,Female,Not stated,2015 ,17
Medical Practitioners,75-99,Male,Australia,2015 ,992
Medical Practitioners,75-99,Male,New Zealand,2015 ,38
Medical Practitioners,75-99,Male,Other overseas,2015 ,442
Medical Practitioners,75-99,Male,Not stated,2015 ,42
Medical Practitioners,75-99,Female,Australia,2015 ,91
Medical Practitioners,75-99,Female,New Zealand,2015 ,3
Medical Practitioners,75-99,Female,Other overseas,2015 ,71
Medical Practitioners,75-99,Female,Not stated,2015 ,6
Medical Radiation Practitioners,20-34,Male,Australia,2015 ,1627
Medical Radiation Practitioners,20-34,Male,New Zealand,2015 ,13
Medical Radiation Practitioners,20-34,Male,Other overseas,2015 ,32
Medical Radiation Practitioners,20-34,Male,Not stated,2015 ,122
Medical Radiation Practitioners,20-34,Female,Australia,2015 ,3343
Medical Radiation Practitioners,20-34,Female,New Zealand,2015 ,145
Medical Radiation Practitioners,20-34,Female,Other overseas,2015 ,136
Medical Radiation Practitioners,20-34,Female,Not stated,2015 ,297
Medical Radiation Practitioners,35-44,Male,Australia,2015 ,946
Medical Radiation Practitioners,35-44,Male,New Zealand,2015 ,29
Medical Radiation Practitioners,35-44,Male,Other overseas,2015 ,90
Medical Radiation Practitioners,35-44,Male,Not stated,2015 ,21
Medical Radiation Practitioners,35-44,Female,Australia,2015 ,1628
Medical Radiation Practitioners,35-44,Female,New Zealand,2015 ,79
Medical Radiation Practitioners,35-44,Female,Other overseas,2015 ,270
Medical Radiation Practitioners,35-44,Female,Not stated,2015 ,23
Medical Radiation Practitioners,45-54,Male,Australia,2015 ,590
Medical Radiation Practitioners,45-54,Male,New Zealand,2015 ,21
Medical Radiation Practitioners,45-54,Male,Other overseas,2015 ,120
Medical Radiation Practitioners,45-54,Male,Not stated,2015 ,11
Medical Radiation Practitioners,45-54,Female,Australia,2015 ,953
Medical Radiation Practitioners,45-54,Female,New Zealand,2015 ,88
Medical Radiation Practitioners,45-54,Female,Other overseas,2015 ,328
Medical Radiation Practitioners,45-54,Female,Not stated,2015 ,12
Medical Radiation Practitioners,55-64,Male,Australia,2015 ,451
Medical Radiation Practitioners,55-64,Male,New Zealand,2015 ,22
Medical Radiation Practitioners,55-64,Male,Other overseas,2015 ,92
Medical Radiation Practitioners,55-64,Male,Not stated,2015 ,7
Medical Radiation Practitioners,55-64,Female,Australia,2015 ,723
Medical Radiation Practitioners,55-64,Female,New Zealand,2015 ,66
Medical Radiation Practitioners,55-64,Female,Other overseas,2015 ,281
Medical Radiation Practitioners,55-64,Female,Not stated,2015 ,8
Medical Radiation Practitioners,65-74,Male,Australia,2015 ,56
Medical Radiation Practitioners,65-74,Male,New Zealand,2015 ,0
Medical Radiation Practitioners,65-74,Male,Other overseas,2015 ,29
Medical Radiation Practitioners,65-74,Male,Not stated,2015 ,3
Medical Radiation Practitioners,65-74,Female,Australia,2015 ,96
Medical Radiation Practitioners,65-74,Female,New Zealand,2015 ,8
Medical Radiation Practitioners,65-74,Female,Other overseas,2015 ,51
Medical Radiation Practitioners,65-74,Female,Not stated,2015 ,3
Medical Radiation Practitioners,75-99,Male,Australia,2015 ,5
Medical Radiation Practitioners,75-99,Male,Other overseas,2015 ,3
Medical Radiation Practitioners,75-99,Female,Australia,2015 ,3
Medical Radiation Practitioners,75-99,Female,New Zealand,2015 ,0
Medical Radiation Practitioners,75-99,Female,Other overseas,2015 ,3
Nurses and Midwives,20-34,Male,Not stated,2015 ,9315
Nurses and Midwives,20-34,Female,Not stated,2015 ,71125
Nurses and Midwives,20-34,Not stated,Not stated,2015 ,0
Nurses and Midwives,35-44,Male,Not stated,2015 ,8530
Nurses and Midwives,35-44,Female,Not stated,2015 ,58986
Nurses and Midwives,45-54,Male,Not stated,2015 ,8035
Nurses and Midwives,45-54,Female,Not stated,2015 ,73022
Nurses and Midwives,55-64,Male,Not stated,2015 ,5990
Nurses and Midwives,55-64,Female,Not stated,2015 ,60913
Nurses and Midwives,65-74,Male,Not stated,2015 ,760
Nurses and Midwives,65-74,Female,Not stated,2015 ,9471
Nurses and Midwives,75-99,Male,Not stated,2015 ,25
Nurses and Midwives,75-99,Female,Not stated,2015 ,315
Occupational Therapists,20-34,Male,Australia,2015 ,590
Occupational Therapists,20-34,Male,New Zealand,2015 ,6
Occupational Therapists,20-34,Male,Other overseas,2015 ,21
Occupational Therapists,20-34,Male,Not stated,2015 ,75
Occupational Therapists,20-34,Female,Australia,2015 ,5886
Occupational Therapists,20-34,Female,New Zealand,2015 ,106
Occupational Therapists,20-34,Female,Other overseas,2015 ,186
Occupational Therapists,20-34,Female,Not stated,2015 ,731
Occupational Therapists,35-44,Male,Australia,2015 ,333
Occupational Therapists,35-44,Male,New Zealand,2015 ,11
Occupational Therapists,35-44,Male,Other overseas,2015 ,40
Occupational Therapists,35-44,Male,Not stated,2015 ,8
Occupational Therapists,35-44,Female,Australia,2015 ,3036
Occupational Therapists,35-44,Female,New Zealand,2015 ,51
Occupational Therapists,35-44,Female,Other overseas,2015 ,271
Occupational Therapists,35-44,Female,Not stated,2015 ,50
Occupational Therapists,45-54,Male,Australia,2015 ,145
Occupational Therapists,45-54,Male,New Zealand,2015 ,7
Occupational Therapists,45-54,Male,Other overseas,2015 ,26
Occupational Therapists,45-54,Male,Not stated,2015 ,3
Occupational Therapists,45-54,Female,Australia,2015 ,1869
Occupational Therapists,45-54,Female,New Zealand,2015 ,50
Occupational Therapists,45-54,Female,Other overseas,2015 ,224
Occupational Therapists,45-54,Female,Not stated,2015 ,38
Occupational Therapists,55-64,Male,Australia,2015 ,50
Occupational Therapists,55-64,Male,New Zealand,2015 ,3
Occupational Therapists,55-64,Male,Other overseas,2015 ,21
Occupational Therapists,55-64,Male,Not stated,2015 ,0
Occupational Therapists,55-64,Female,Australia,2015 ,907
Occupational Therapists,55-64,Female,New Zealand,2015 ,33
Occupational Therapists,55-64,Female,Other overseas,2015 ,94
Occupational Therapists,55-64,Female,Not stated,2015 ,7
Occupational Therapists,65-74,Male,Australia,2015 ,6
Occupational Therapists,65-74,Male,New Zealand,2015 ,0
Occupational Therapists,65-74,Male,Other overseas,2015 ,3
Occupational Therapists,65-74,Female,Australia,2015 ,112
Occupational Therapists,65-74,Female,New Zealand,2015 ,6
Occupational Therapists,65-74,Female,Other overseas,2015 ,17
Occupational Therapists,65-74,Female,Not stated,2015 ,0
Occupational Therapists,75-99,Female,Australia,2015 ,3
Optometrists,20-34,Male,Australia,2015 ,407
Optometrists,20-34,Male,New Zealand,2015 ,65
Optometrists,20-34,Male,Other overseas,2015 ,24
Optometrists,20-34,Male,Not stated,2015 ,56
Optometrists,20-34,Female,Australia,2015 ,799
Optometrists,20-34,Female,New Zealand,2015 ,99
Optometrists,20-34,Female,Other overseas,2015 ,36
Optometrists,20-34,Female,Not stated,2015 ,122
Optometrists,35-44,Male,Australia,2015 ,411
Optometrists,35-44,Male,New Zealand,2015 ,24
Optometrists,35-44,Male,Other overseas,2015 ,52
Optometrists,35-44,Male,Not stated,2015 ,3
Optometrists,35-44,Female,Australia,2015 ,531
Optometrists,35-44,Female,New Zealand,2015 ,36
Optometrists,35-44,Female,Other overseas,2015 ,63
Optometrists,35-44,Female,Not stated,2015 ,4
Optometrists,45-54,Male,Australia,2015 ,460
Optometrists,45-54,Male,New Zealand,2015 ,9
Optometrists,45-54,Male,Other overseas,2015 ,69
Optometrists,45-54,Male,Not stated,2015 ,3
Optometrists,45-54,Female,Australia,2015 ,353
Optometrists,45-54,Female,New Zealand,2015 ,10
Optometrists,45-54,Female,Other overseas,2015 ,55
Optometrists,45-54,Female,Not stated,2015 ,3
Optometrists,55-64,Male,Australia,2015 ,483
Optometrists,55-64,Male,New Zealand,2015 ,7
Optometrists,55-64,Male,Other overseas,2015 ,65
Optometrists,55-64,Male,Not stated,2015 ,4
Optometrists,55-64,Female,Australia,2015 ,164
Optometrists,55-64,Female,New Zealand,2015 ,4
Optometrists,55-64,Female,Other overseas,2015 ,20
Optometrists,65-74,Male,Australia,2015 ,62
Optometrists,65-74,Male,New Zealand,2015 ,3
Optometrists,65-74,Male,Other overseas,2015 ,20
Optometrists,65-74,Male,Not stated,2015 ,0
Optometrists,65-74,Female,Australia,2015 ,16
Optometrists,65-74,Female,New Zealand,2015 ,0
Optometrists,65-74,Female,Other overseas,2015 ,0
Optometrists,75-99,Male,Australia,2015 ,11
Optometrists,75-99,Male,New Zealand,2015 ,0
Optometrists,75-99,Male,Other overseas,2015 ,3
Optometrists,75-99,Female,Other overseas,2015 ,0
Osteopaths,20-34,Male,Australia,2015 ,231
Osteopaths,20-34,Male,New Zealand,2015 ,6
Osteopaths,20-34,Male,Other overseas,2015 ,9
Osteopaths,20-34,Male,Not stated,2015 ,33
Osteopaths,20-34,Female,Australia,2015 ,466
Osteopaths,20-34,Female,New Zealand,2015 ,8
Osteopaths,20-34,Female,Other overseas,2015 ,8
Osteopaths,20-34,Female,Not stated,2015 ,50
Osteopaths,35-44,Male,Australia,2015 ,230
Osteopaths,35-44,Male,New Zealand,2015 ,4
Osteopaths,35-44,Male,Other overseas,2015 ,21
Osteopaths,35-44,Male,Not stated,2015 ,7
Osteopaths,35-44,Female,Australia,2015 ,272
Osteopaths,35-44,Female,New Zealand,2015 ,5
Osteopaths,35-44,Female,Other overseas,2015 ,14
Osteopaths,35-44,Female,Not stated,2015 ,3
Osteopaths,45-54,Male,Australia,2015 ,98
Osteopaths,45-54,Male,New Zealand,2015 ,0
Osteopaths,45-54,Male,Other overseas,2015 ,34
Osteopaths,45-54,Male,Not stated,2015 ,4
Osteopaths,45-54,Female,Australia,2015 ,65
Osteopaths,45-54,Female,Other overseas,2015 ,22
Osteopaths,45-54,Female,Not stated,2015 ,0
Osteopaths,55-64,Male,Australia,2015 ,104
Osteopaths,55-64,Male,New Zealand,2015 ,0
Osteopaths,55-64,Male,Other overseas,2015 ,25
Osteopaths,55-64,Male,Not stated,2015 ,0
Osteopaths,55-64,Female,Australia,2015 ,30
Osteopaths,55-64,Female,New Zealand,2015 ,3
Osteopaths,55-64,Female,Other overseas,2015 ,11
Osteopaths,55-64,Female,Not stated,2015 ,3
Osteopaths,65-74,Male,Australia,2015 ,35
Osteopaths,65-74,Male,New Zealand,2015 ,3
Osteopaths,65-74,Male,Other overseas,2015 ,10
Osteopaths,65-74,Male,Not stated,2015 ,3
Osteopaths,65-74,Female,Australia,2015 ,4
Osteopaths,65-74,Female,Other overseas,2015 ,0
